repo	milestone	round	issue_slug	title	size	depends_on	files_touched	notes
paideia-os	r29-driver-substrate	R29	R29-M1-001	Promote slot-14 base kind KIND_HW (linearity-and-tags §3.1 rewrite)	S	-	design/kernel/linearity-and-tags.md src/kernel/core/cap/kind_hw.pdx	D6 slot allocation; single-authority monorepo write
paideia-os	r29-driver-substrate	R29	R29-M1-002	Draft design/drivers/blob-policy.md (D1.a dual-signature, D1.b per-driver DMA domain, D1.c full audit)	M	-	design/drivers/blob-policy.md	D1 blob-driver capability policy; blocks R38 + R40 kickoff
paideia-os	r29-driver-substrate	R29	R29-M1-003	KIND_INTERRUPT derived cap over KIND_HW	M	R29-M1-001	src/kernel/core/cap/kind_interrupt.pdx design/kernel/interrupts.md	per-vector interrupt cap; owned by driver process
paideia-os	r29-driver-substrate	R29	R29-M1-004	KIND_MSIX_VECTOR derived over KIND_INTERRUPT	S	R29-M1-003	src/kernel/core/cap/kind_msix_vector.pdx src/kernel/drivers/pcie/msix.pdx	MSI-X vector cap; per-vector affinity
paideia-os	r29-driver-substrate	R29	R29-M1-005	KIND_DMA_DOMAIN cap over KIND_HW (per-driver IOMMU domain)	M	R29-M1-001	src/kernel/core/cap/kind_dma_domain.pdx src/kernel/drivers/iommu/domain.pdx	D1.b per-driver-process domain granularity
paideia-os	r29-driver-substrate	R29	R29-M1-006	KIND_HW_TIMELINE base cap (drm-syncobj shape)	M	R29-M1-001	src/kernel/core/cap/kind_hw_timeline.pdx design/kernel/timelines.md	P1 mitigation: explicit-sync only; no implicit fallback
paideia-os	r29-driver-substrate	R29	R29-M1-007	TLA+ spec for KIND_HW_TIMELINE (R7 mitigation)	L	R29-M1-006	design/formal/hw_timeline.tla	Every derived timeline must refine base spec
paideia-os	r29-driver-substrate	R29	R29-M2-001	Driver lifecycle FSM: real bodies for load/init/probe/attach/detach/unload	L	R29-M1-003	src/kernel/core/driver/lifecycle.pdx	replace R28 MVP arbitrated stubs with real states
paideia-os	r29-driver-substrate	R29	R29-M2-002	Driver registry v2: ML-DSA-65 signed driver manifests	L	R29-M2-001	src/kernel/core/driver/registry.pdx design/drivers/registry-v2.md	content-addressed driver identity
paideia-os	r29-driver-substrate	R29	R29-M2-003	Driver process spawn contract: narrow-cap seed	M	R29-M2-001	src/kernel/core/driver/spawn.pdx	spawn hands over exactly the caps declared in manifest
paideia-os	r29-driver-substrate	R29	R29-M2-004	Driver-side supervisor: crash → capture → restart FSM	M	R29-M2-001	src/kernel/core/driver/supervisor.pdx	chaos-restart harness feeds this
paideia-os	r29-driver-substrate	R29	R29-M2-005	Interrupt topology probe (per-CPU, per-vector affinity)	M	R29-M1-003	src/kernel/drivers/apic/topology.pdx	T14 G4 topology walk
paideia-os	r29-driver-substrate	R29	R29-M2-006	IRQ vector allocator with cap-scoped ownership	M	R29-M1-003	src/kernel/core/irq/allocator.pdx	who-owns-what vector; no ambient IRQ authority
paideia-os	r29-driver-substrate	R29	R29-M2-007	IOMMU domain allocator + attach/detach lifecycle	M	R29-M1-005	src/kernel/drivers/iommu/allocator.pdx	per-driver-process domain default
paideia-os	r29-driver-substrate	R29	R29-M2-008	DMA buffer allocator over KIND_DMA_DOMAIN	M	R29-M1-005	src/kernel/core/dma/allocator.pdx	coherent + streaming variants
paideia-os	r29-driver-substrate	R29	R29-M3-001	Driver-audit surface: emit-first record schema	M	R29-M2-001	src/kernel/core/audit/driver_events.pdx design/audit/driver-schema.md	I5 invariant applied to driver events
